Name,State,District,Party,Years_Served,FIPS_Code,CD
"Haaland, Debra A.",New Mexico,01,Democratic,House: 2019-2021,35,3501
"Hagedorn, Jim",Minnesota,01,Republican,House: 2019-2022,27,2701
"Hall, Kwanza",Georgia,05,Democratic,House: 2020-2021,13,1305
"Harder, Josh",California,09,Democratic,House: 2019-Present,06,0609
"Harris, Andy",Maryland,01,Republican,House: 2011-Present,24,2401
"Hartzler, Vicky",Missouri,04,Republican,House: 2011-2023,29,2904
"Hastings, Alcee L.",Florida,20,Democratic,House: 1993-2021,12,1220
"Hayes, Jahana",Connecticut,05,Democratic,House: 2019-Present,09,0905
"Heck, Denny",Washington,10,Democratic,House: 2013-2021,53,5310
"Hern, Kevin",Oklahoma,01,Republican,House: 2018-Present,40,4001
"Herrera Beutler, Jaime",Washington,03,Republican,House: 2011-2023,53,5303
"Hice, Jody B.",Georgia,10,Republican,House: 2015-2023,13,1310
"Higgins, Brian",New York,26,Democratic,House: 2005-Present,36,3626
"Higgins, Clay",Louisiana,03,Republican,House: 2017-Present,22,2203
"Hill, J. French",Arkansas,02,Republican,House: 2015-Present,05,0502
"Hill, Katie",California,25,Democratic,House: 2019,06,0625
"Himes, James A.",Connecticut,04,Democratic,House: 2009-Present,09,0904
"Holding, George",North Carolina,02,Republican,House: 2013-2021,37,3702
"Hollingsworth, Trey",Indiana,09,Republican,House: 2017-2023,18,1809
"Horn, Kendra S.",Oklahoma,05,Democratic,House: 2019-2021,40,4005
"Horsford, Steven",Nevada,04,Democratic,"House: 2013-2015, 2019-Present",32,3204
"Houlahan, Chrissy",Pennsylvania,06,Democratic,House: 2019-Present,42,4206
"Hoyer, Steny H.",Maryland,05,Democratic,House: 1981-Present,24,2405
"Hudson, Richard",North Carolina,09,Republican,House: 2013-Present,37,3709
"Huffman, Jared",California,02,Democratic,House: 2013-Present,06,0602
"Huizenga, Bill",Michigan,04,Republican,House: 2011-Present,26,2604
"Hunter, Duncan D.",California,50,Republican,House: 2009-2020,06,0650
"Hurd, Will",Texas,23,Republican,House: 2015-2021,48,4823
"Jackson Lee, Sheila",Texas,18,Democratic,House: 1995-Present,48,4818
"Jacobs, Chris",New York,27,Republican,House: 2020-2023,36,3627
"Jayapal, Pramila",Washington,07,Democratic,House: 2017-Present,53,5307
"Jeffries, Hakeem S.",New York,08,Democratic,House: 2013-Present,36,3608
"Johnson, Bill",Ohio,06,Republican,House: 2011-Present,39,3906
"Johnson, Dusty",South Dakota,00,Republican,House: 2019-Present,46,4600
"Johnson, Eddie Bernice",Texas,30,Democratic,House: 1993-2023,48,4830
"Johnson, Henry C. ""Hank,"" Jr.",Georgia,04,Democratic,House: 2007-Present,13,1304
"Johnson, Mike",Louisiana,04,Republican,House: 2017-Present,22,2204
"Jones, Walter B., Jr.",North Carolina,03,Republican,House: 1995-2019,37,3703
"Jordan, Jim",Ohio,04,Republican,House: 2007-Present,39,3904
"Joyce, David P.",Ohio,14,Republican,House: 2013-Present,39,3914
"Joyce, John",Pennsylvania,13,Republican,House: 2019-Present,42,4213
"Kaptur, Marcy",Ohio,09,Democratic,House: 1983-Present,39,3909
"Katko, John",New York,24,Republican,House: 2015-2023,36,3624
"Keating, William R.",Massachusetts,09,Democratic,House: 2011-Present,25,2509
"Keller, Fred",Pennsylvania,12,Republican,House: 2019-2023,42,4212
"Kelly, Mike",Pennsylvania,16,Republican,House: 2011-Present,42,4216
"Kelly, Robin L.",Illinois,02,Democratic,House: 2013-Present,17,1702
"Kelly, Trent",Mississippi,01,Republican,House: 2015-Present,28,2801
"Kennedy, Joseph P., III",Massachusetts,04,Democratic,House: 2013-2021,25,2504
"Khanna, Ro",California,17,Democratic,House: 2017-Present,06,0617
"Kildee, Daniel T.",Michigan,08,Democratic,House: 2013-Present,26,2608
"Kilmer, Derek",Washington,06,Democratic,House: 2013-Present,53,5306
"Kim, Andy",New Jersey,03,Democratic,House: 2019-Present,34,3403
"Kind, Ron",Wisconsin,03,Democratic,House: 1997-2023,55,5503
"King, Peter T.",New York,02,Republican,House: 1993-2021,36,3602
"King, Steve",Iowa,04,Republican,House: 2003-2021,19,1904
"Kinzinger, Adam",Illinois,16,Republican,House: 2011-2023,17,1716
"Kirkpatrick, Ann",Arizona,02,Democratic,"House: 2009-2011, 2013-2017, 2019-2023",04,0402
"Krishnamoorthi, Raja",Illinois,08,Democratic,House: 2017-Present,17,1708
"Kuster, Ann M.",New Hampshire,02,Democratic,House: 2013-Present,33,3302
"Kustoff, David",Tennessee,08,Republican,House: 2017-Present,47,4708
