Name,State,District,Party,Years_Served,FIPS_Code,CD
"Peters, Scott H.",California,50,Democratic,House: 2013-Present,06,0650
"Peterson, Collin C.",Minnesota,07,Democratic,House: 1991-2021,27,2707
"Phillips, Dean",Minnesota,03,Democratic,House: 2019-Present,27,2703
"Pingree, Chellie",Maine,01,Democratic,House: 2009-Present,23,2301
"Pocan, Mark",Wisconsin,02,Democratic,House: 2013-Present,55,5502
"Porter, Katie",California,47,Democratic,House: 2019-Present,06,0647
"Posey, Bill",Florida,08,Republican,House: 2009-Present,12,1208
"Pressley, Ayanna",Massachusetts,07,Democratic,House: 2019-Present,25,2507
"Price, David E.",North Carolina,04,Democratic,"House: 1987-1995, 1997-2023",37,3704
"Quigley, Mike",Illinois,05,Democratic,House: 2009-Present,17,1705
"Raskin, Jamie",Maryland,08,Democratic,House: 2017-Present,24,2408
"Ratcliffe, John",Texas,04,Republican,House: 2015-2020,48,4804
"Reed, Tom",New York,23,Republican,House: 2010-2022,36,3623
"Reschenthaler, Guy",Pennsylvania,14,Republican,House: 2019-Present,42,4214
"Rice, Kathleen M.",New York,04,Democratic,House: 2015-2023,36,3604
"Rice, Tom",South Carolina,07,Republican,House: 2013-2023,45,4507
"Richmond, Cedric L.",Louisiana,02,Democratic,House: 2011-2021,22,2202
"Riggleman, Denver",Virginia,05,Republican,House: 2019-2021,51,5105
"Roby, Martha",Alabama,02,Republican,House: 2011-2021,01,0102
"Roe, David P.",Tennessee,01,Republican,House: 2009-2021,47,4701
"Rogers, Harold",Kentucky,05,Republican,House: 1981-Present,21,2105
"Rogers, Mike D.",Alabama,03,Republican,House: 2003-Present,01,0103
"Rooney, Francis",Florida,19,Republican,House: 2017-2021,12,1219
"Rose, John W.",Tennessee,06,Republican,House: 2019-Present,47,4706
"Rose, Max",New York,11,Democratic,House: 2019-2021,36,3611
"Rouda, Harley",California,48,Democratic,House: 2019-2021,06,0648
"Rouzer, David",North Carolina,07,Republican,House: 2015-Present,37,3707
"Roy, Chip",Texas,21,Republican,House: 2019-Present,48,4821
"Roybal-Allard, Lucille",California,40,Democratic,House: 1993-2023,06,0640
"Ruiz, Raul",California,25,Democratic,House: 2013-Present,06,0625
"Ruppersberger, C. A. Dutch",Maryland,02,Democratic,House: 2003-Present,24,2402
"Rush, Bobby L.",Illinois,01,Democratic,House: 1993-2023,17,1701
"Rutherford, John H.",Florida,05,Republican,House: 2017-Present,12,1205
"Ryan, Tim",Ohio,13,Democratic,House: 2003-2023,39,3913
"Sánchez, Linda T.",California,38,Democratic,House: 2003-Present,06,0638
"Sarbanes, John P.",Maryland,03,Democratic,House: 2007-Present,24,2403
"Scalise, Steve",Louisiana,01,Republican,House: 2008-Present,22,2201
"Scanlon, Mary Gay",Pennsylvania,05,Democratic,House: 2018-Present,42,4205
"Schakowsky, Janice D.",Illinois,09,Democratic,House: 1999-Present,17,1709
"Schiff, Adam B.",California,30,Democratic,House: 2001-Present,06,0630
"Schneider, Bradley Scott",Illinois,10,Democratic,"House: 2013-2015, 2017-Present",17,1710
"Schrader, Kurt",Oregon,05,Democratic,House: 2009-2023,41,4105
"Schrier, Kim",Washington,08,Democratic,House: 2019-Present,53,5308
"Schweikert, David",Arizona,01,Republican,House: 2011-Present,04,0401
"Scott, Austin",Georgia,08,Republican,House: 2011-Present,13,1308
"Scott, David",Georgia,13,Democratic,House: 2003-Present,13,1313
"Scott, Robert C. ""Bobby""",Virginia,03,Democratic,House: 1993-Present,51,5103
"Sensenbrenner, F. James, Jr.",Wisconsin,05,Republican,House: 1979-2021,55,5505
"Serrano, Jose E.",New York,15,Democratic,House: 1989-2021,36,3615
"Sewell, Terri A.",Alabama,07,Democratic,House: 2011-Present,01,0107
"Shalala, Donna E.",Florida,27,Democratic,House: 2019-2021,12,1227
"Sherman, Brad",California,32,Democratic,House: 1997-Present,06,0632
"Sherrill, Mikie",New Jersey,11,Democratic,House: 2019-Present,34,3411
"Shimkus, John",Illinois,15,Republican,House: 1997-2021,17,1715
"Simpson, Michael K.",Idaho,02,Republican,House: 1999-Present,16,1602
"Sires, Albio",New Jersey,08,Democratic,House: 2005-2023,34,3408
"Slotkin, Elissa",Michigan,07,Democratic,House: 2019-Present,26,2607
"Smith, Adam",Washington,09,Democratic,House: 1997-Present,53,5309
"Smith, Adrian",Nebraska,03,Republican,House: 2007-Present,31,3103
"Smith, Christopher H.",New Jersey,04,Republican,House: 1981-Present,34,3404
"Smith, Jason",Missouri,08,Republican,House: 2013-Present,29,2908
"Smucker, Lloyd",Pennsylvania,11,Republican,House: 2017-Present,42,4211
"Soto, Darren",Florida,09,Democratic,House: 2017-Present,12,1209
"Spanberger, Abigail Davis",Virginia,07,Democratic,House: 2019-Present,51,5107
"Spano, Ross",Florida,15,Republican,House: 2019-2021,12,1215
"Speier, Jackie",California,14,Democratic,House: 2008-2023,06,0614
"Stanton, Greg",Arizona,04,Democratic,House: 2019-Present,04,0404
"Stauber, Pete",Minnesota,08,Republican,House: 2019-Present,27,2708
"Stefanik, Elise M.",New York,21,Republican,House: 2015-Present,36,3621
"Steil, Bryan",Wisconsin,01,Republican,House: 2019-Present,55,5501
"Steube, W. Gregory",Florida,17,Republican,House: 2019-Present,12,1217
"Stevens, Haley M.",Michigan,11,Democratic,House: 2019-Present,26,2611
"Stewart, Chris",Utah,02,Republican,House: 2013-2023,49,4902
"Stivers, Steve",Ohio,15,Republican,House: 2011-2021,39,3915
"Suozzi, Thomas R.",New York,03,Democratic,House: 2017-2023,36,3603
"Swalwell, Eric",California,14,Democratic,House: 2013-Present,06,0614
"Takano, Mark",California,39,Democratic,House: 2013-Present,06,0639
"Taylor, Van",Texas,03,Republican,House: 2019-2023,48,4803
"Thompson, Bennie G.",Mississippi,02,Democratic,House: 1993-Present,28,2802
"Thompson, Glenn",Pennsylvania,15,Republican,House: 2009-Present,42,4215
"Thompson, Mike",California,04,Democratic,House: 1999-Present,06,0604
"Thornberry, Mac",Texas,13,Republican,House: 1995-2021,48,4813
"Tiffany, Thomas P.",Wisconsin,07,Republican,House: 2020-Present,55,5507
"Timmons, William R. IV",South Carolina,04,Republican,House: 2019-Present,45,4504
"Tipton, Scott R.",Colorado,03,Republican,House: 2011-2021,08,0803
"Titus, Dina",Nevada,01,Democratic,"House: 2009-2011, 2013-Present",32,3201
"Tlaib, Rashida",Michigan,12,Democratic,House: 2019-Present,26,2612
"Tonko, Paul",New York,20,Democratic,House: 2009-Present,36,3620
